Model,Threshold,Accuracy,Precision,Recall,F1-score,ROC-AUC,TN,FP,FN,TP
Random Forest,0.5,0.78708303761533,0.6258503401360545,0.4919786096256685,0.5508982035928144,0.8314293833475418,925,110,190,184
XGBoost,0.5,0.752306600425834,0.5226860254083484,0.7700534759358288,0.6227027027027027,0.8505864269291379,772,263,86,288
LightGBM,0.5,0.7579843860894251,0.5316698656429942,0.7406417112299465,0.6189944134078212,0.8433930093776641,791,244,97,277
CatBoost,0.5,0.7494677075940384,0.5185185185185185,0.786096256684492,0.6248671625929861,0.8531762639179519,762,273,80,294
