feature,importance
MonthlyCharges,2467
TotalCharges,2011
Tenure,1413
PaymentMethod,447
service_diversity,312
Partner,291
monthly_charges_ratio,276
Contract_Label,242
is_paperless_electronic,212
Dependents,176
OnlineBackup,169
PaperlessBilling,166
SeniorCitizen,162
OnlineSecurity,157
tenure_group,146
TechSupport,134
DeviceProtection,112
InternetService,107
