feature,importance
Contract_Label,0.36451203
Dependents,0.12223918
InternetService,0.10389711
is_paperless_electronic,0.08668739
OnlineSecurity,0.039273314
Tenure,0.03832735
MonthlyCharges,0.029449677
service_diversity,0.026704295
TechSupport,0.023623629
TotalCharges,0.020591117
DeviceProtection,0.0196977
Partner,0.019618845
tenure_group,0.019185547
OnlineBackup,0.018207159
monthly_charges_ratio,0.018191945
PaperlessBilling,0.017076043
PaymentMethod,0.016670156
SeniorCitizen,0.016047547
