Model,Threshold,Accuracy,Precision,Recall,F1-score,ROC_AUC
Logistic Regression,0.5,0.7388218594748048,0.5051020408163265,0.7941176470588235,0.6174636174636174,0.7564791133844841
Logistic Regression,0.45,0.7281760113555713,0.49291338582677163,0.8368983957219251,0.6204162537165511,0.762893642305407
Logistic Regression,0.4,0.7139815471965933,0.47832585949177875,0.8556149732620321,0.613614573346117,0.7592084528145908
Logistic Regression,0.35,0.7054648687012065,0.471004243281471,0.8903743315508021,0.6160962072155411,0.7645108372729856
Logistic Regression,0.3,0.6863023420865862,0.45526315789473687,0.9251336898395722,0.6102292768959435,0.7625668449197861
